2021-09-16 17:09:55.853 GMT [6836] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:09:55.854 GMT [6836] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:09:55.856 GMT [6836] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 17:09:55.856 GMT [6836] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 19:09:55.875 CAT [6980] LOG:  statistics collector process (PID 6836) exited with exit code 1
2021-09-16 19:10:06.266 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 17:10:55.906 GMT [1636] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:10:55.907 GMT [1636] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:10:55.909 GMT [1636] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 17:10:55.909 GMT [1636] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 19:10:55.925 CAT [6980] LOG:  statistics collector process (PID 1636) exited with exit code 1
2021-09-16 19:11:17.722 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 17:11:55.961 GMT [6212] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:11:55.962 GMT [6212] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:11:55.964 GMT [6212] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 17:11:55.964 GMT [6212] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 19:11:55.978 CAT [6980] LOG:  statistics collector process (PID 6212) exited with exit code 1
2021-09-16 19:12:31.753 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 17:12:56.020 GMT [9748] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:12:56.021 GMT [9748] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:12:56.023 GMT [9748] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 17:12:56.023 GMT [9748] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 19:12:56.027 CAT [6980] LOG:  statistics collector process (PID 9748) exited with exit code 1
2021-09-16 19:13:44.649 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
