2021-10-12 14:02:45.671 GMT [2740] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 14:02:45.671 GMT [2740] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 16:02:45.691 CAT [6980] LOG:  statistics collector process (PID 2740) exited with exit code 1
2021-10-12 14:03:45.725 GMT [8392] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 14:03:45.726 GMT [8392] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 14:03:45.728 GMT [8392] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 14:03:45.728 GMT [8392] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 16:03:45.753 CAT [6980] LOG:  statistics collector process (PID 8392) exited with exit code 1
2021-10-12 16:03:51.218 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 14:04:45.785 GMT [13456] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
