2021-09-08 22:55:18.942 GMT [10768] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:55:18.951 GMT [10768] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:55:18.951 GMT [10768] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:55:18.983 CAT [6980] LOG:  statistics collector process (PID 10768) exited with exit code 1
2021-09-09 00:55:44.198 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:56:19.117 GMT [11204] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:56:19.122 GMT [11204] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:56:19.131 GMT [11204] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:56:19.131 GMT [11204] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:56:19.164 CAT [6980] LOG:  statistics collector process (PID 11204) exited with exit code 1
2021-09-09 00:56:57.706 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:57:19.285 GMT [9900] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:57:19.290 GMT [9900] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:57:19.299 GMT [9900] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:57:19.299 GMT [9900] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:57:19.331 CAT [6980] LOG:  statistics collector process (PID 9900) exited with exit code 1
2021-09-09 00:58:11.153 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:58:19.499 GMT [4476] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:58:19.504 GMT [4476] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:58:19.513 GMT [4476] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:58:19.513 GMT [4476] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:58:19.533 CAT [6980] LOG:  statistics collector process (PID 4476) exited with exit code 1
2021-09-08 22:59:19.661 GMT [8700] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:59:19.667 GMT [8700] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:59:19.676 GMT [8700] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:59:19.676 GMT [8700] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:59:19.706 CAT [6980] LOG:  statistics collector process (PID 8700) exited with exit code 1
2021-09-09 00:59:24.605 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 23:00:19.832 GMT [10084] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:00:19.837 GMT [10084] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:00:19.846 GMT [10084] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 23:00:19.846 GMT [10084] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 01:00:19.875 CAT [6980] LOG:  statistics collector process (PID 10084) exited with exit code 1
2021-09-09 01:00:38.198 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 23:01:20.006 GMT [8268] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:01:20.011 GMT [8268] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:01:20.020 GMT [8268] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 23:01:20.020 GMT [8268] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 01:01:20.048 CAT [6980] LOG:  statistics collector process (PID 8268) exited with exit code 1
2021-09-09 01:01:51.627 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 23:02:20.272 GMT [10836] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:02:20.276 GMT [10836] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:02:20.285 GMT [10836] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 23:02:20.285 GMT [10836] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 01:02:20.314 CAT [6980] LOG:  statistics collector process (PID 10836) exited with exit code 1
2021-09-09 01:03:05.188 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 23:03:20.536 GMT [1576] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:03:20.541 GMT [1576] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:03:20.550 GMT [1576] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 23:03:20.550 GMT [1576] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 01:03:20.578 CAT [6980] LOG:  statistics collector process (PID 1576) exited with exit code 1
2021-09-09 01:04:18.644 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 23:04:20.703 GMT [2876] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:04:20.708 GMT [2876] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:04:20.717 GMT [2876] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 23:04:20.717 GMT [2876] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 01:04:20.747 CAT [6980] LOG:  statistics collector process (PID 2876) exited with exit code 1
2021-09-08 23:05:20.875 GMT [7764] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:05:20.880 GMT [7764] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:05:20.889 GMT [7764] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 23:05:20.889 GMT [7764] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 01:05:20.922 CAT [6980] LOG:  statistics collector process (PID 7764) exited with exit code 1
2021-09-09 01:05:32.078 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 23:06:21.050 GMT [10680] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:06:21.054 GMT [10680] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:06:21.063 GMT [10680] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 23:06:21.063 GMT [10680] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 01:06:21.093 CAT [6980] LOG:  statistics collector process (PID 10680) exited with exit code 1
2021-09-09 01:06:45.686 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 23:07:21.220 GMT [10120] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:07:21.225 GMT [10120] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:07:21.234 GMT [10120] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 23:07:21.234 GMT [10120] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 01:07:21.266 CAT [6980] LOG:  statistics collector process (PID 10120) exited with exit code 1
2021-09-09 01:07:59.098 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 23:08:21.394 GMT [10800] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:08:21.401 GMT [10800] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:08:21.413 GMT [10800] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 23:08:21.413 GMT [10800] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 01:08:21.445 CAT [6980] LOG:  statistics collector process (PID 10800) exited with exit code 1
2021-09-09 01:09:12.559 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 23:09:21.569 GMT [6344] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:09:21.574 GMT [6344] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:09:21.583 GMT [6344] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 23:09:21.583 GMT [6344] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 01:09:21.613 CAT [6980] LOG:  statistics collector process (PID 6344) exited with exit code 1
2021-09-08 23:10:21.740 GMT [1576] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:10:21.745 GMT [1576] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:10:21.754 GMT [1576] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 23:10:21.754 GMT [1576] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 01:10:21.775 CAT [6980] LOG:  statistics collector process (PID 1576) exited with exit code 1
2021-09-09 01:10:26.044 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 23:11:21.934 GMT [4432] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 23:11:21.940 GMT [4432] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
